ticket	symbol	session	type	open_time	close_time	open_price	close_price	volume	profit	range_high	range_low
260972140	GOLD	LONDON	BUY	2026.07.22 15:56	2026.07.23 09:15	0	4108.64	0.01	-9.33	0.0	0.0
261871496	GOLD	LONDON	SELL	2026.07.23 12:03	2026.07.23 12:03	0	4098.58	0.01	-11.07	4097.74	4088.6
261934619	GOLD	LONDON	BUY	2026.07.23 13:09	2026.07.23 13:09	0	4088.1	0.01	-9.8	4097.74	4088.6
263988855	GOLD	LONDON	BUY	2026.07.27 13:11	2026.07.27 13:11	0	4086.66	0.01	-6.59	4093.21	4087.16
263997021	GOLD	LONDON	SELL	2026.07.27 13:22	2026.07.27 13:22	0	4093.73	0.01	-6.65	4093.21	4087.16
264347261	GOLD	LONDON	SELL	2026.07.27 19:30	2026.07.27 19:30	0	4090.15	0.01	-20.07	4093.21	4087.16
264526594	GOLD	LONDON	BUY	2026.07.28 02:49	2026.07.28 02:49	0	4070.02	0.01	-20.08	4093.21	4087.16
264587840	GOLD	LONDON	BUY	2026.07.28 04:34	2026.07.28 04:34	0	4043.94	0.01	-24.46	0.0	0.0
264895018	GOLD	LONDON	SELL	2026.07.28 13:23	2026.07.28 13:23	0	4018.09	0.01	24.99	4055.34	4043.09
265122429	GOLD	LONDON	BUY	2026.07.28 17:20	2026.07.28 17:20	0	4019.7	0.01	-14.09	4055.34	4043.09
265183427	GOLD	LONDON	SELL	2026.07.28 18:10	2026.07.28 18:10	0	4033.59	0.01	-13.19	4055.34	4043.09
