ticket	symbol	type	open_time	close_time	open_price	close_price	volume	profit	swap	commission	duration_min	fib_level	velocity	volume_ratio	rsi_accel	signal_score
275976613	GOLD	BUY	2026.07.14 22:10	2026.07.15 02:10	4054.35	4048.64	0.01	93.41	4.42	0.00	240	4052.25	-9.10	1.40	-5.0366	5
276017279	GOLD	SELL	2026.07.15 04:03	2026.07.15 04:33	4057.66	4048.10	0.01	-156.48	0.00	0.00	30	4052.25	-30.30	0.61	-15.1455	5
275976613	GOLD	BUY	2026.07.14 22:10	2026.07.15 02:10	4054.35	4048.64	0.01	93.41	4.42	0.00	240	4043.18	-5.60	0.65	1.5350	5
276017279	GOLD	SELL	2026.07.15 04:03	2026.07.15 04:33	4057.66	4048.10	0.01	-156.48	0.00	0.00	30	4043.18	-5.60	0.66	1.5350	5
276124958	GOLD	BUY	2026.07.15 05:27	2026.07.15 09:27	4032.90	4028.17	0.01	77.19	0.00	0.00	240	4029.09	-0.50	0.36	3.6655	5
276131392	GOLD	BUY	2026.07.15 09:27	2026.07.15 09:42	4027.64	4031.35	0.01	-60.67	0.00	0.00	14	4029.09	23.30	0.08	2.1010	5
276193561	GOLD	SELL	2026.07.15 11:35	2026.07.15 11:36	4028.54	4024.63	0.01	-64.03	0.00	0.00	1	4029.09	-31.90	0.22	-8.1823	5
276289697	GOLD	SELL	2026.07.15 14:42	2026.07.15 14:43	4038.07	4039.11	0.01	17.02	0.00	0.00	1	4043.18	8.60	0.66	1.7553	5
256604890	GOLD	BUY	2026.07.15 18:15	2026.07.15 20:36	4044.23	4058.77	0.01	-14.54	0.00	-0.04	141	4064.01	37.30	0.35	-4.0654	5
256718137	GOLD	SELL	2026.07.15 20:36	2026.07.16 01:00	4057.59	4064.94	0.01	7.35	-2.04	-0.04	263	4057.36	47.70	0.02	11.2180	5
256604890	GOLD	BUY	2026.07.15 18:15	2026.07.15 20:36	4044.23	4058.77	0.01	-14.54	0.00	-0.04	141	4057.36	-5.30	0.83	2.8584	5
256718137	GOLD	SELL	2026.07.15 20:36	2026.07.16 01:00	4057.59	4064.94	0.01	7.35	-2.04	-0.04	263	4057.36	-3.50	0.94	3.4597	5
256868297	GOLD	BUY	2026.07.16 08:10	2026.07.16 08:29	4030.98	4026.94	0.01	4.04	0.00	-0.04	19	4029.16	-16.70	0.32	3.2072	5
256890195	GOLD	BUY	2026.07.16 08:29	2026.07.16 09:05	4027.05	4033.77	0.01	-6.72	0.00	-0.04	35	4029.16	14.30	0.26	-3.3934	5
256898431	GOLD	SELL	2026.07.16 09:10	2026.07.16 09:18	4034.06	4028.62	0.01	-5.44	0.00	-0.04	8	4029.16	-10.10	0.19	-0.5588	5
256942041	GOLD	BUY	2026.07.16 10:30	2026.07.16 10:41	4025.14	4028.56	0.01	-3.42	0.00	-0.04	11	4032.65	31.20	0.60	4.8730	5
256964893	GOLD	BUY	2026.07.16 11:15	2026.07.16 11:20	4025.83	4030.11	0.01	-4.28	0.00	-0.04	5	4032.65	20.00	0.12	-6.1380	5
257046002	GOLD	SELL	2026.07.16 11:45	2026.07.16 13:59	4033.99	4028.89	0.01	-5.10	0.00	-0.04	134	4032.65	-26.80	0.46	-7.0781	5
257117150	GOLD	SELL	2026.07.16 14:45	2026.07.16 15:15	4035.15	4027.12	0.01	-8.03	0.00	-0.04	30	4032.88	-29.60	0.29	-3.7857	5
257154927	GOLD	BUY	2026.07.16 15:15	2026.07.16 15:40	4026.74	4012.44	0.01	14.30	0.00	-0.04	24	4032.88	-66.70	0.30	4.4259	5
257210058	GOLD	BUY	2026.07.16 15:45	2026.07.16 16:05	4001.85	3974.67	0.01	27.18	0.00	-0.04	20	4032.88	-106.50	0.46	3.7083	5
257235170	GOLD	BUY	2026.07.16 16:05	2026.07.16 16:25	3974.59	3999.86	0.01	-25.27	0.00	-0.04	20	4032.88	51.20	0.80	-2.9931	5
257314192	GOLD	BUY	2026.07.16 16:40	2026.07.16 17:27	3986.36	3998.70	0.01	-12.34	0.00	-0.04	47	4032.88	16.10	0.20	6.9717	5
257414552	GOLD	SELL	2026.07.16 18:25	2026.07.16 19:12	4009.07	3994.83	0.01	-14.24	0.00	-0.04	46	4001.34	-16.60	0.13	-2.2302	5
257519449	GOLD	BUY	2026.07.16 19:12	2026.07.16 21:35	3994.56	3977.51	0.01	17.05	0.00	-0.04	143	4001.34	-40.90	0.44	7.3513	5
257545731	GOLD	SELL	2026.07.16 21:50	2026.07.16 22:26	3982.82	3978.99	0.01	-3.83	0.00	-0.04	36	3996.63	-20.70	0.75	-0.5309	5
257582123	GOLD	BUY	2026.07.16 23:25	2026.07.16 23:26	3972.72	3975.12	0.01	-2.40	0.00	-0.04	1	3996.63	21.90	0.37	4.8228	5
257597746	GOLD	SELL	2026.07.17 01:07	2026.07.17 01:24	3978.56	3974.95	0.01	-3.61	0.00	-0.04	17	3996.63	-2.00	0.65	-0.6454	5
257622038	GOLD	SELL	2026.07.17 02:00	2026.07.17 02:59	3978.52	3984.99	0.01	6.47	0.00	-0.04	59	3993.31	11.70	0.02	4.3893	5
257657156	GOLD	SELL	2026.07.17 03:55	2026.07.17 04:06	3987.54	3995.10	0.01	7.56	0.00	-0.04	11	3993.31	65.80	0.57	15.0284	5
257678239	GOLD	SELL	2026.07.17 04:06	2026.07.17 04:51	3994.35	3981.85	0.01	-12.50	0.00	-0.04	44	3993.31	-20.90	0.17	11.1124	5
257722153	GOLD	BUY	2026.07.17 04:55	2026.07.17 06:07	3979.98	3990.67	0.01	-10.69	0.00	-0.04	71	3993.31	4.70	0.14	-12.5627	5
257731175	GOLD	SELL	2026.07.17 06:12	2026.07.17 06:20	3990.68	4006.84	0.01	16.16	0.00	-0.04	8	4012.05	103.10	0.33	-9.8617	5
257774770	GOLD	SELL	2026.07.17 06:20	2026.07.17 08:05	4007.21	3979.49	0.01	-27.72	0.00	-0.04	105	3993.31	-22.10	1.01	-7.9905	5
257880829	GOLD	SELL	2026.07.17 09:20	2026.07.17 11:00	4002.64	3992.39	0.01	-10.25	0.00	-0.04	99	3993.31	-5.20	0.01	3.4807	5
257913334	GOLD	BUY	2026.07.17 11:20	2026.07.17 11:48	3991.36	3997.17	0.01	-5.81	0.00	-0.04	28	3993.31	34.30	0.29	-2.2721	5
256604890	GOLD	BUY	2026.07.15 18:15	2026.07.15 20:36	4044.23	4058.77	0.01	-14.54	0.00	-0.04	141	4054.68	-20.60	0.27	5.7979	5
256718137	GOLD	SELL	2026.07.15 20:36	2026.07.16 01:00	4057.59	4064.94	0.01	7.35	-2.04	-0.04	263	4054.68	-12.70	0.63	6.6164	5
256868297	GOLD	BUY	2026.07.16 08:10	2026.07.16 08:29	4030.98	4026.94	0.01	4.04	0.00	-0.04	19	4025.22	-16.40	0.88	6.2281	5
256890195	GOLD	BUY	2026.07.16 08:29	2026.07.16 09:05	4027.05	4033.77	0.01	-6.72	0.00	-0.04	35	4038.39	5.10	0.04	5.7676	5
256898431	GOLD	SELL	2026.07.16 09:10	2026.07.16 09:18	4034.06	4028.62	0.01	-5.44	0.00	-0.04	8	4025.22	3.90	0.18	5.6470	5
256942041	GOLD	BUY	2026.07.16 10:30	2026.07.16 10:41	4025.14	4028.56	0.01	-3.42	0.00	-0.04	11	4025.22	3.50	0.31	5.6070	5
